canton,nbi,internet_inst,tef_11_19,cajeros,puntos_financieros,pib_pc,fecundidad,participacion_ensenanza,prematuro,agua_potable,oficinas
MARCABELI,0.289838168829277,57.14,0.05,4,35,1553,1.56,9.29,0,1981,8
PASAJE,0.358153352259791,77.78,0.08,5,36,2414,1.85,8.24,8.56,17205,4
PINAS,0.356839133244883,59.09,0.02,4,38,3242,1.52,4.79,4.12,6948,7
PORTOVELO,0.311821605257329,78.57,0.07,4,50,6887,1.95,2.25,3.09,2886,2
SANTA ROSA,0.303200189788868,86.84,0.1,5,42,4070,2.24,4.42,7.2,12363,4
ZARUMA,0.430563554092963,62.5,0.05,4,37,4067,1.58,3.89,7.14,2536,5
LAS LAJAS,0.370590289905692,60,0.05,5,55,2289,1.15,5.97,8,636,7
ESMERALDAS,0.384440580262503,65.52,0.1,4,42,5245,2.55,5.14,6.69,41434,3
ELOY ALFARO,0.876133848357277,22.12,0.18,1,39,1279,2.87,16.68,4.56,1083,2
MUISNE,0.923144778917189,18.75,0.2,1,38,1445,2.79,13.15,5.8,3400,1
QUININDE,0.714181961713045,19.26,0.15,2,44,2228,2.4,9.18,3.9,14642,2
SAN LORENZO,0.73788679718351,32.35,0.2,2,33,2850,3.32,7.52,4.66,9800,3
ATACAMES,0.709900502413555,40.38,0.13,5,58,1565,2.34,13.6,6.14,9265,3
RIOVERDE,0.91980773326032,7.06,0.2,0,41,1438,2.9,13.32,5,973,3
GUAYAQUIL,0.287443812092185,81.86,0.05,6,43,8777,1.67,3.7,5.86,539266,3
ALFREDO BAQUERIZO MORENO,0.841006151314501,34.78,0.12,1,25,1957,2.15,6.76,6.82,3850,0
BALAO,0.467074739755944,50,0.11,3,54,2510,1.89,5.89,4.29,4421,5
BALZAR,0.793343251565584,30.21,0.16,3,27,1890,2.5,9.65,3.91,15640,2
COLIMES,0.807197649124145,20.41,0.1,0,27,1728,1.78,8.33,5.45,2750,3
DAULE,0.345870007379816,40.54,0.04,5,28,3782,1.5,4.31,5.7,16065,3
DURAN,0.653685766100233,79.14,0.04,4,38,10171,1.53,1.86,4.46,40803,3
EL EMPALME,0.715498645530246,33.98,0.14,3,25,2196,2.29,9.18,3.04,7200,3
EL TRIUNFO,0.560884139258569,50,0.12,2,23,2837,2.02,7.91,5.1,10278,2
MILAGRO,0.455074047036845,80.49,0.08,5,47,3003,2.03,7.32,6.06,34219,4
NARANJAL,0.535055835864078,43.48,0.12,4,53,3423,2.16,5.27,2.6,10547,6
NARANJITO,0.450532517561747,70.83,0.09,4,47,1714,2.09,9.61,6.28,8874,4
PALESTINA,0.673614585070311,20.83,0.08,2,47,1361,1.57,12.27,1.92,2757,2
PEDRO CARBO,0.721561773800154,27.27,0.13,1,24,1464,2.28,12.44,5.46,9128,3
SAMBORONDON,0.320713350453204,36.05,0.03,11,28,17792,1.33,5.97,5.51,45519,4
SANTA LUCIA,0.741983474857523,25.4,0.1,1,22,1892,2.02,8.01,2.11,4879,3
SALITRE,0.889491358833647,21.52,0.1,1,21,1130,2.18,14.63,5.19,20000,2
SAN JACINTO DE YAGUACHI,0.58064738007787,44.44,0.1,2,25,5412,1.96,3.35,4.92,14482,2
PLAYAS,0.481146073164496,80.56,0.1,7,43,1711,2.44,12.18,3.64,17233,5
SIMON BOLIVAR,0.719783769081697,48.15,0.11,2,40,1780,1.98,10.99,3.46,4115,2
