modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,.iter,tree_depth,learn_rate,loss_reduction,sample_size
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,9,18,pre0_mod15_post0,0,2,1.438449888287663e-4,0.2976351441631313,0.6052631578947368
GBM,bayes,pr_auc,binary,0.9600991311315342,5,0.002162154438371015,9,18,pre0_mod15_post0,0,2,1.438449888287663e-4,0.2976351441631313,0.6052631578947368
GBM,bayes,roc_auc,binary,0.8220351865715274,5,0.005450609295657252,9,18,pre0_mod15_post0,0,2,1.438449888287663e-4,0.2976351441631313,0.6052631578947368
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,9,24,pre0_mod16_post0,0,6,2.9763514416313193e-4,4.281332398719396e-8,0.6578947368421053
GBM,bayes,pr_auc,binary,0.9298321094888341,5,0.0065778040826760045,9,24,pre0_mod16_post0,0,6,2.9763514416313193e-4,4.281332398719396e-8,0.6578947368421053
GBM,bayes,roc_auc,binary,0.7336968865164353,5,0.020351068248910215,9,24,pre0_mod16_post0,0,6,2.9763514416313193e-4,4.281332398719396e-8,0.6578947368421053
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,10,36,pre0_mod17_post0,0,3,0.011288378916846883,1.6237767391887209e-6,0.5263157894736842
GBM,bayes,pr_auc,binary,0.9150025635767023,5,5.004357811179393e-4,10,36,pre0_mod17_post0,0,3,0.011288378916846883,1.6237767391887209e-6,0.5263157894736842
GBM,bayes,roc_auc,binary,0.5,5,0,10,36,pre0_mod17_post0,0,3,0.011288378916846883,1.6237767391887209e-6,0.5263157894736842
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,10,38,pre0_mod18_post0,0,4,0.023357214690901212,4.832930238571752e-7,0.9210526315789473
GBM,bayes,pr_auc,binary,0.8609723543838329,5,0.011978469572586347,10,38,pre0_mod18_post0,0,4,0.023357214690901212,4.832930238571752e-7,0.9210526315789473
