modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,tree_depth,learn_rate,loss_reduction,sample_size
GBM,grid,f_meas,binary,0.9399367392047117,5,0.0029281809114211433,9,5,pre0_mod33_post0,1,0.03,1e-5,0.7
GBM,grid,pr_auc,binary,0.9863844257473448,5,0.0019655958453849076,9,5,pre0_mod33_post0,1,0.03,1e-5,0.7
GBM,grid,roc_auc,binary,0.9373425748112466,5,0.007809777600458367,9,5,pre0_mod33_post0,1,0.03,1e-5,0.7
GBM,grid,f_meas,binary,0.9433529601062421,5,0.003166370925470985,9,5,pre0_mod34_post0,1,0.03,1e-5,0.9
GBM,grid,pr_auc,binary,0.9871648373439585,5,0.0019174367628166404,9,5,pre0_mod34_post0,1,0.03,1e-5,0.9
GBM,grid,roc_auc,binary,0.9403324328136359,5,0.007958085179869491,9,5,pre0_mod34_post0,1,0.03,1e-5,0.9
GBM,grid,f_meas,binary,0.9420667664082453,5,0.0037846846679649164,9,5,pre0_mod35_post0,1,0.03,0.01,0.7
GBM,grid,pr_auc,binary,0.9864634295977767,5,0.001921976228607034,9,5,pre0_mod35_post0,1,0.03,0.01,0.7
GBM,grid,roc_auc,binary,0.9379478036119641,5,0.00751039753923344,9,5,pre0_mod35_post0,1,0.03,0.01,0.7
GBM,grid,f_meas,binary,0.9426627821976757,5,0.0029308652441590974,9,5,pre0_mod36_post0,1,0.03,0.01,0.9
GBM,grid,pr_auc,binary,0.9871589625439986,5,0.0019476355922913408,9,5,pre0_mod36_post0,1,0.03,0.01,0.9
GBM,grid,roc_auc,binary,0.9404482225284231,5,0.008007890583528424,9,5,pre0_mod36_post0,1,0.03,0.01,0.9
GBM,grid,f_meas,binary,0.941560256094341,5,0.004871605849521618,9,5,pre0_mod37_post0,1,0.08,1e-5,0.7
GBM,grid,pr_auc,binary,0.9858326552308707,5,0.001187760830179031,9,5,pre0_mod37_post0,1,0.08,1e-5,0.7
GBM,grid,roc_auc,binary,0.9343840601985965,5,0.004637481507056495,9,5,pre0_mod37_post0,1,0.08,1e-5,0.7
GBM,grid,f_meas,binary,0.9421646046278609,5,0.005189547993420385,9,5,pre0_mod38_post0,1,0.08,1e-5,0.9
GBM,grid,pr_auc,binary,0.9865163609270114,5,0.0016287250557224543,9,5,pre0_mod38_post0,1,0.08,1e-5,0.9
GBM,grid,roc_auc,binary,0.9376637240045761,5,0.006454562945520609,9,5,pre0_mod38_post0,1,0.08,1e-5,0.9
GBM,grid,f_meas,binary,0.9424430842853921,5,0.0056382002181117295,9,5,pre0_mod39_post0,1,0.08,0.01,0.7
GBM,grid,pr_auc,binary,0.9852355452618867,5,0.0011774736443632022,9,5,pre0_mod39_post0,1,0.08,0.01,0.7
GBM,grid,roc_auc,binary,0.9321337253668082,5,0.004614965822360754,9,5,pre0_mod39_post0,1,0.08,0.01,0.7
GBM,grid,f_meas,binary,0.9407169481636333,5,0.005850933473826317,9,5,pre0_mod40_post0,1,0.08,0.01,0.9
GBM,grid,pr_auc,binary,0.9864017020134974,5,0.0016219146856296695,9,5,pre0_mod40_post0,1,0.08,0.01,0.9
GBM,grid,roc_auc,binary,0.9370070197137865,5,0.006475951969967028,9,5,pre0_mod40_post0,1,0.08,0.01,0.9
GBM,grid,f_meas,binary,0.9414226880737099,5,0.00643496963673161,9,5,pre0_mod41_post0,3,0.03,1e-5,0.7
GBM,grid,pr_auc,binary,0.9826336686396361,5,0.002908978450468672,9,5,pre0_mod41_post0,3,0.03,1e-5,0.7
GBM,grid,roc_auc,binary,0.9261758894590976,5,0.009883807442446262,9,5,pre0_mod41_post0,3,0.03,1e-5,0.7
GBM,grid,f_meas,binary,0.94200938983206,5,0.005388558907164426,9,5,pre0_mod42_post0,3,0.03,1e-5,0.9
GBM,grid,pr_auc,binary,0.983006498071494,5,0.003083899911001257,9,5,pre0_mod42_post0,3,0.03,1e-5,0.9
GBM,grid,roc_auc,binary,0.9272735711332202,5,0.010368412403371996,9,5,pre0_mod42_post0,3,0.03,1e-5,0.9
GBM,grid,f_meas,binary,0.939158188987169,5,0.007139091077946143,9,5,pre0_mod43_post0,3,0.03,0.01,0.7
GBM,grid,pr_auc,binary,0.981894217468049,5,0.0030775679625973246,9,5,pre0_mod43_post0,3,0.03,0.01,0.7
GBM,grid,roc_auc,binary,0.9238291737038605,5,0.009991087526460536,9,5,pre0_mod43_post0,3,0.03,0.01,0.7
GBM,grid,f_meas,binary,0.9420876178594285,5,0.004762512753640554,9,5,pre0_mod44_post0,3,0.03,0.01,0.9
GBM,grid,pr_auc,binary,0.9827313793043535,5,0.0031265906841998264,9,5,pre0_mod44_post0,3,0.03,0.01,0.9
